Compound Name,Mechanism of Action
gemcitabine,"Gemcitabine is a potent and specific deoxycytidine analog. After uptake into malignant cells, gemcitabine is phosphorylated by deoxycytidine kinase to form gemcitabine monophosphate, which is then converted to the active compounds, gemcitabine diphosphate (dFdCDP) and gemcitabine triphosphate (dFdCTP). These active metabolites are nucleosides that mediate antitumour effects. dFdCTP competes with deoxycytidine triphosphate (dCTP) for incorporation into DNA, thereby competitively inhibiting DNA chain elongation. The non-terminal position of dFdCTP in the DNA chain prevents detection of dFdCTP in the chain and repair by proof-reading 3′5′-exonuclease: this process is referred to as ""masked DNA chain termination."" Incorporation of dFdCTP into the DNA chain ultimately leads to chain termination, DNA fragmentation, and apoptotic cell death of malignant cells.  Gemcitabine has self-potentiating pharmacological actions that can increase the probability of successful incorporation of gemcitabine triphosphate into the DNA chain: dFdCDP inhibits ribonucleotide reductase, an enzyme responsible for catalyzing the reactions that generate dCTP for DNA synthesis. Since dFdCDP reduces the levels of dCTP, there is less competition for gemcitabine triphosphate for incorporation into DNA. Gemcitabine can also reduce metabolism and elimination of active metabolites from the target ce1l, prolonging high intracellular concentrations of the active metabolites. Such self-potentiating effects are not present with [cytarabine].

Gemcitabine hydrochloride, a synthetic pyrimidine nucleoside, is an antineoplastic agent. The nucleoside analog consists of the pyrimidine base difluorocytidine, and the sugar moiety deoxyribose. Like most antimetabolite antineoplastic agents, gemcitabine is cell-cycle specific, acting principally in the S phase of the cell cycle; the drug also may cause cellular arrest at the G1-S border. The cytotoxic activity of gemcitabine (2'-deoxy-2',2'-difluorocytidine) depends on intracellular conversion to its 5'-diphosphate and -triphosphate metabolites; thus, deoxydifluorocytidine-5?-diphosphate (dFdCDP, gemcitabine diphosphate) and -triphosphate (dFdCTP, gemcitabine triphosphate) and not unchanged gemcitabine are the pharmacologically active forms of the drug. Gemcitabine is phosphorylated by deoxycytidine kinase to gemcitabine monophosphate, which subsequently is phosphorylated to the corresponding diphosphate and triphosphate nucleosides, presumably by deoxycytidylate kinase and nucleoside diphosphate kinase, respectively. The cytotoxic effect of gemcitabine is attributed to the combined actions of its diphosphate and triphosphate nucleosides, which lead to inhibition of DNA synthesis.

Gemcitabine diphosphate inhibits ribonucleotide reductase, which is responsible for catalyzing the formation of deoxynucleoside triphosphates needed in DNA synthesis. By inhibiting this reductase, gemcitabine diphosphate interferes with subsequent de novo nucleotide production. Gemcitabine triphosphate inhibits DNA synthesis by competing with the physiologic substrate, deoxycytidine triphosphate, for DNA polymerase and incorporation into DNA. The reduction in intracellular concentrations of deoxycytidine triphosphate induced by gemcitabine diphosphate actually enhances the incorporation of gemcitabine triphosphate into DNA, a mechanism referred to as ''self-potentiation.'' Following incorporation of gemcitabine triphosphate into the DNA chain, a single additional nucleotide, a normal base pair, is added and DNA synthesis is terminated, resulting in apoptosis (programmed cell death). DNA polymerase ? is unable to recognize the abnormal (gemcitabine) nucleotide and repair the DNA strand as a result of masking by the terminal normal base pair nucleotide (masked chain termination). This inability to recognize and excise the abnormal nucleotide results in a prolonged intracellular half-life of gemcitabine compared with other nucleoside analogs such as cytarabine and is thought to contribute to gemcitabine's expanded spectrum of antineoplastic activity relative to such agents. In CEM T lymphoblastoid cells, gemcitabine induces internucleosomal DNA fragmentation, which is characteristic of programmed cell death."
gimeracil and oteracil porassium capsules and sintilimab,Drug not found in PubChem
glofitamab,Drug not found in PubChem
gilteritinib,"Gilteritinib is a potent selective inhibitor of both of the mutations, internal tandem duplication (ITD) and tyrosine kinase domain (TKD), of the FLT3 receptor. In the same note, gilteritinib also inhibits AXL and ALK tyrosine kinases. FLT3 and AXL are molecules involved in the growth of cancer cells. The activity of gilteritinib permits an inhibition of the phosphorylation of FLT3 and its downstream targets such as STAT5, ERK and AKT.  The interest in FLT3 transmembrane tyrosine kinases was raised when studies reported that approximately 30% of the patients with acute myeloid leukemia presented a mutationally activated isoform. As well, the mutation ITD is associated with poor patient outcomes while the mutation TKD produces a resistance mechanism to FLT3 tyrosine kinase inhibitors and the AXL tyrosine kinase tends to produce a resistance mechanism to chemotherapies."
glubran 2,Drug not found in PubChem
golcadomide,Mechanism of Action section not found
golidocitinib with azacytidine and chidamide,Drug not found in PubChem
golidocitinib,Mechanism of Action section not found
hdFMT,Drug not found in PubChem
herombopag,Drug not found in PubChem
herombopag olamine tablets,Drug not found in PubChem
hu14.18K322A,Drug not found in PubChem
hydrochloride,Drug not found in PubChem
homoharringtonine,"Homoharringtonine inhibits protein synthesis by not directly binding to Bcr-Abl. It binds to the A-site cleft in the large ribosomal subunit, which affects chain elongation and prevents protein synthesis."
i.v. 200mg,Drug not found in PubChem
iMAB,Mechanism of Action section not found
iNKT,Drug not found in PubChem
hydrocortisone,"The short-term effects of corticosteroids are decreased vasodilation and permeability of capillaries, as well as decreased leukocyte migration to sites of inflammation. Corticosteroids binding to the glucocorticoid receptor mediates changes in gene expression that lead to multiple downstream effects over hours to days.  Glucocorticoids inhibit neutrophil apoptosis and demargination; they inhibit phospholipase A2, which decreases the formation of arachidonic acid derivatives; they inhibit NF-Kappa B and other inflammatory transcription factors; they promote anti-inflammatory genes like interleukin-10.  Lower doses of corticosteroids provide an anti-inflammatory effect, while higher doses are immunosuppressive. High doses of glucocorticoids for an extended period bind to the mineralocorticoid receptor, raising sodium levels and decreasing potassium levels.

Following topical application, corticosteroids produce anti-inflammatory, antipruritic, and vasoconstrictor actions. The activity of the drugs is thought to result at least in part from binding with a steroid receptor. Corticosteroids decrease inflammation by stabilizing leukocyte lysosomal membranes, preventing release of destructive acid hydrolases from leukocytes; inhibiting macrophage accumulation in inflamed areas; reducing leukocyte adhesion to capillary endothelium; reducing capillary wall permeability and edema formation; decreasing complement components; antagonizing histamine activity and release of kinin from substrates; reducing fibroblast proliferation, collagen deposition, and subsequent scar tissue formation; and possibly by other mechanisms as yet unknown. Corticosteroids, especially the fluorinated corticosteroids, have antimitotic activity on cutaneous fibroblasts and the epidermis. /Corticosteroids/

Reactive oxygen species (ROS) generation by polymorphonuclear leukocytes (PMNL) and mononuclear cells (MNC) is inhibited following the intravenous administration of hydrocortisone. This is associated with a parallel decrease in intranuclear NFkappaB, known to modulate inflammatory responses including ROS generation. Plasma levels of interleukin-10 (IL-10), an anti-inflammatory and immunosuppressive cytokine produced by TH2 cells, are also increased after hydrocortisone administration. In this study, we have investigated the effect of hydrocortisone on p47(phox) subunit, a key component of nicotinamide adenine dinucleotide phosphate (NADPH) oxidase, in MNC and the pharmacodynamics of this effect with ROS generation and plasma IL-10 levels /were investigated/. p47(phox) subunit protein levels in MNC showed a progressive decrease after hydrocortisone administration. It reached a nadir at 4 hours and increased thereafter to a baseline level at 24 hours. ROS generation also decreased, reached a nadir between 2 and 4 hours, and returned to a baseline level at 24 hours. IL-10 concentrations increased, peaked at 4 hours, and reverted to the baseline levels at 24 hours. In conclusion, p47(phox) subunit suppression may contribute to the inhibition of ROS generation in MNC after hydrocortisone administration. This suppression occurs in parallel with the suppression of NFkappaB and an increase in IL-10 plasma levels. Therefore, it would appear that the decrease in intranuclear NFkappaB and an increase in IL-10 may cause the inhibitory modulation on p47(phox) subunit and ROS generation by MNC following hydrocortisone and other glucocorticoids."
if approved/available locally,Drug not found in PubChem
imaging,Drug not found in PubChem
ibrutinib,"Ibrutinib is an inhibitor of Bruton’s tyrosine kinase (BTK). It forms a covalent bond with a cysteine residue in the active site of BTK (Cys481), leading to its inhibition. The inhibition of BTK plays a role in the B-cell receptor signaling and thus, the presence of ibrutinib prevents the phosphorylation of downstream substrates such as PLC-γ.

Ibrutinib is a novel oral tyrosine kinase inhibitor that irreversibly binds and inhibits tyrosine-protein kinase BTK (Bruton tyrosine kinase). BTK has been found to be important in the function of B-cell receptor signaling and therefore in the maintenance and expansion of various B-cell malignancies including chronic lymphocytic leukemia (CLL) and mantle cell lymphoma (MCL). Targeting BTK with ibrutinib has been found to be an effective strategy in treating these malignancies. Phase I clinical testing in non-Hodgkin's lymphomas and CLL showed that the drug was extremely well tolerated with no major dose-limiting toxicities and a 54% overall response rate. Subsequently, two phase Ib/II studies were performed on patients with CLL, one in relapsed/refractory CLL and one in previously untreated elderly patients with CLL. Both of these studies continued to show good tolerability of the drug and an overall response rate of about 71% with extended duration of response. Another phase II study using ibrutinib in relapsed/refractory MCL was conducted and also showed that it was well tolerated with an overall response rate of 68% and extended duration of response. Due to these results, the U.S. Food and Drug Administration granted accelerated approval for ibrutinib in November 2013 for patients with MCL who had received at least one prior therapy and in February 2014 for patients with CLL who had received at least one prior therapy. This review will discuss the preclinical pharmacology, pharmacokinetics and clinical efficacy to date of ibrutinib in the treatment of CLL and MCL.

... In this study we report for the first time that ibrutinib is cytotoxic to malignant plasma cells from patients with multiple myeloma (MM) and furthermore that treatment with ibrutinib significantly augments the cytotoxic activity of bortezomib and lenalidomide chemotherapies. We describe that the cytotoxicity of ibrutinib in MM is mediated via an inhibitory effect on the nuclear factor-(k)B (NF-(k)B) pathway. Specifically, ibrutinib blocks the phosphorylation of serine-536 of the p65 subunit of NF-(k)B, preventing its nuclear translocation, resulting in down-regulation of anti-apoptotic proteins Bcl-xL, FLIP(L) and survivin and culminating in caspase-mediated apoptosis within the malignant plasma cells....

Mantle cell lymphoma (MCL) is an aggressive B-cell malignancy that characteristically shows overexpression of cyclin-D1 due to an alteration in the t(11;14)(q13;q32) chromosomal region. Although there are some promising treatment modalities, great majority of patients with this disease remain incurable. The B-cell antigen receptor (BCR) signaling plays a crucial role in B-cell biology and lymphomagenesis. Bruton tyrosine kinase (BTK) has been identified as a key component of the BCR signaling pathway. Evidence suggests that the blockade of BTK activity by potent pharmacologic inhibitors attenuates BCR signaling and induces cell death. Notably, the expression levels and the role of BTK in MCL survival are still elusive. Here, we demonstrated a moderate to strong BTK expression in all MCL cases (n=19) compared to benign lymphoid tissues. Treatment of MCL cell lines (Mino or Jeko-1) with a potent BTK pharmacologic inhibitor, Ibrutinib, decreased phospho-BTK-Tyr(223) expression. Consistent with this observation, Ibrutinib inhibited the viability of both Mino and JeKo-1 cells in concentration- and time-dependent manners. Ibrutinib also induced a concentration-dependent apoptosis in both cell lines. Consistently, Ibrutinib treatment decreased the levels of anti-apoptotic Bcl-2, Bcl-xL, and Mcl-1 protein. These findings suggest that BTK signaling plays a critical role in MCL cell survival, and the targeting of BTK could represent a promising therapeutic modality for aggressive lymphoma.

Ibrutinib is a small-molecule inhibitor of Bruton's tyrosine kinase (BTK). Ibrutinib forms a covalent bond with a cysteine residue in the BTK active site, leading to inhibition of BTK enzymatic activity. BTK is a signaling molecule of the B-cell antigen receptor (BCR) and cytokine receptor pathways. BTK's role in signaling through the B-cell surface receptors results in activation of pathways necessary for B-cell trafficking, chemotaxis, and adhesion. Nonclinical studies show that ibrutinib inhibits malignant B-cell proliferation and survival in vivo as well as cell migration and substrate adhesion in vitro."
